Code,Partner,LDC and other,LDC and other Source,Income group,Income group Source,Development region,Development region Source,WTO Member,NetFoodImporting,World,FSR,FSR_EEU,FSR_EU,SVE_SmallVulnarableEconomies,RAM_RecentMembers,G33_friends,LowIncomeFoodDefC,NewGroupOF92,OldGroupOF103,,,,,,,,,,,
84,Belize,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
204,Benin,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
60,Bermuda,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
64,Bhutan,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
68,Bolivia (Plurinational State of),ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
535,Bonaire,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
70,Bosnia Herzegovina,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
72,Botswana,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
74,Bouvet Island,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
80,Br. Antarctic Terr.,ODCs,Manual,Others,WB WITS,Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
86,Br. Indian Ocean Terr.,ODCs,Manual,Others,WB WITS,Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
92,Br. Virgin Isds,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
76,Brazil,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
96,Brunei Darussalam,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
100,Bulgaria,ODCs,Manual,Upper middle income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
837,Bunkers,ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
854,Burkina Faso,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
108,Burundi,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
132,Cabo Verde,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
471,"CACM, nes",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
116,Cambodia,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
120,Cameroon,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
124,Canada,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
129,"Caribbean, nes",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
136,Cayman Isds,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
140,Central African Rep.,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
148,Chad,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
152,Chile,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
156,China,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,RAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
344,"China, Hong Kong SAR",ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
446,"China, Macao SAR",ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
162,Christmas Isds,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
166,Cocos Isds,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
170,Colombia,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
174,Comoros,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
178,Congo,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
184,Cook Isds,ODCs,Manual,Others,WB WITS,Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
188,Costa Rica,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
384,Côte d'Ivoire,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
191,Croatia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
192,Cuba,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
531,Curaçao,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
196,Cyprus,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
203,Czechia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
408,Dem. People's Rep. of Korea,ODCs,Manual,Low-income,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
180,Dem. Rep. of the Congo,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
208,Denmark,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
262,Djibouti,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
212,Dominica,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Manual,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
214,Dominican Rep.,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
221,"Eastern Europe, nes",ODCs,Manual,Upper middle income,WB WITS,Economies in transition,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
218,Ecuador,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
818,Egypt,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
222,El Salvador,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroupOther,,,,,,,,,,,
226,Equatorial Guinea,LDC,UN WESP,Upper middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
232,Eritrea,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
233,Estonia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
231,Ethiopia,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
697,"Europe EFTA, nes",ODCs,Manual,High-income,WB WITS,Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
492,"Europe EU, nes",ODCs,Manual,High-income,WB WITS,Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
234,Faeroe Isds,ODCs,Manual,High-income,WB WITS,Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
238,Falkland Isds (Malvinas),ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
242,Fiji,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
246,Finland,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
736,Fmr Sudan,ODCs,Manual,Lower middle income,World Bank list of economies (March 2017),Developing economies,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
260,Fr. South Antarctic Terr.,ODCs,Manual,Others,WB WITS,Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
251,France,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
838,Free Zones,ODCs,Manual,Others,WB WITS,Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
254,French Guiana,ODCs,Manual,High-income,WB WITS,Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
258,French Polynesia,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
583,FS Micronesia,ODCs,Manual,High-income,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
266,Gabon,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
270,Gambia,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
268,Georgia,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,FSR,other FSR,FSR,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
276,Germany,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
288,Ghana,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
292,Gibraltar,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
300,Greece,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
304,Greenland,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
308,Grenada,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroupOther,,,,,,,,,,,
312,Guadeloupe,ODCs,Manual,Others,WB WITS,Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
316,Guam,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
320,Guatemala,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
324,Guinea,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
624,Guinea-Bissau,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
328,Guyana,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
332,Haiti,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
334,Heard Island and McDonald Islands,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
336,Holy See (Vatican City State),ODCs,Manual,High-income,World Bank list of economies (March 2017),Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
340,Honduras,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
348,Hungary,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
352,Iceland,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
