Code,Partner,LDC and other,LDC and other Source,Income group,Income group Source,Development region,Development region Source,WTO Member,NetFoodImporting,World,SVE_SmallVulnarableEconomies,RAM_RecentMembers,G33_friends,LowIncomeFoodDefC,NewGroupOF92,OldGroupOF103
49,Cuba,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
279,Curaçao,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
50,Cyprus,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
167,Czechia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
116,Democratic People's Republic of Korea,ODCs,Manual,Low-income,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
250,Democratic Republic of the Congo,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
54,Denmark,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroup
72,Djibouti,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
55,Dominica,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Manual,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
56,Dominican Republic,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
58,Ecuador,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroup
59,Egypt,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup
60,El Salvador,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroupOther
61,Equatorial Guinea,LDC,UN WESP,Upper middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup
178,Eritrea,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
63,Estonia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
238,Ethiopia,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
140,Monaco,ODCs,Manual,High-income,WB WITS,Developed economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
64,Faroe Islands,ODCs,Manual,High-income,WB WITS,Developed economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
65,Falkland Islands (Malvinas),ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
66,Fiji,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,SVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
67,Finland,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
206,Sudan (former),ODCs,Manual,Lower middle income,World Bank list of economies (March 2017),Developing economies,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
71,French Southern and Antarctic Territories,ODCs,Manual,Others,WB WITS,Developed economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
68,France,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
69,French Guiana,ODCs,Manual,High-income,WB WITS,Developed economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
70,French Polynesia,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
145,Micronesia (Federated States of),ODCs,Manual,High-income,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
74,Gabon,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup
75,Gambia,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
73,Georgia,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroup
79,Germany,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
81,Ghana,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
82,Gibraltar,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developed economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
84,Greece,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
85,Greenland,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developed economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
86,Grenada,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroupOther
87,Guadeloupe,ODCs,Manual,Others,WB WITS,Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
88,Guam,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
89,Guatemala,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,SVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther
90,Guinea,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
175,Guinea-Bissau,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
91,Guyana,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther
93,Haiti,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
92,Heard and McDonald Islands,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
94,Holy See,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developed economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
95,Honduras,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
97,Hungary,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
99,Iceland,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
100,India,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
101,Indonesia,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroup
102,Iran (Islamic Republic of),ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
103,Iraq,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup
104,Ireland,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
105,Israel,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
106,Italy,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
109,Jamaica,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
110,Japan,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
112,Jordan,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroup,oldGroup
108,Kazakhstan,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
114,Kenya,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
83,Kiribati,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup
118,Kuwait,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
113,Kyrgyzstan,ODCs,Manual,Lower middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,LIFDC,newGroup,oldGroup
120,Lao People's Democratic Republic,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup
119,Latvia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
121,Lebanon,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup
122,Lesotho,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroupOther
123,Liberia,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
124,Libya,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
126,Lithuania,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
256,Luxembourg,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
129,Madagascar,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
130,Malawi,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
131,Malaysia,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
132,Maldives,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup
133,Mali,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
134,Malta,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
127,Marshall Islands,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
135,Martinique,ODCs,Manual,Others,WB WITS,Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
136,Mauritania,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
137,Mauritius,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
270,Mayotte,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
138,Mexico,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
141,Mongolia,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
273,Montenegro,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
142,Montserrat,ODCs,Manual,Others,WB WITS,Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
